Q2,72.05,31.00,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q4,63.00,17.00,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.00,41.00,270.00,10K,R0402
R10,7.00,79.00,180.00,10K,R0402
R12,79.00,46.00,270.00,10K,R0402
R13,82.00,46.00,270.00,10K,R0402
R1_BAT,117.00,50.00,180.00,200,R0402
R1_PINH,147.05,17.00,90.00,10K,R0402
R1_PWRUSB,107.00,41.00,180.00,100K,R0402
R2,68.00,21.00,270.00,0.47,R0402
R2-USB1,159.00,53.03,0.00,5k1,R0402
R2-USB2,159.00,56.00,180.00,5k1,R0402
R2_BAT,120.00,48.00,270.00,2K,R0402
R2_PINH,149.03,17.00,90.00,10K,R0402
R3,61.00,12.00,180.00,10K,R0402
R4,64.56,11.33,90.00,2.2,R0402
R5,4.00,99.00,180.00,10K,R0402
R6,16.00,79.00,0.00,10K,R0402
R7,13.00,99.00,0.00,10K,R0402
R8,31.00,47.00,90.00,10K,R0402
R9,72.00,26.00,0.00,10K,R0402
RESET_BUTTON,49.00,109.00,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,13.00,67.00,0.00,TPTP20R,TP20R
R_BOOT,20.00,107.00,90.00,10K,R0402
R_CAPACITOR,74.96,59.60,90.00,15,R0402
R_CHANGE,60.00,107.00,90.00,10K,R0402
R_CL1,72.00,34.00,180.00,10K,R0402
R_RESET,44.96,106.99,90.00,10K,R0402
SCK,12.00,105.00,0.00,TPTP20R,TP20R
SENSOR2,147.48,12.34,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,61.00,10.00,0.00,,SJ
TX,11.00,70.00,0.00,TPTP20R,TP20R
U1,16.00,53.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,36.00,54.00,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U3,83.90,54.95,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,132.00,54.00,0.00,MAX17048G+T10,SON50P200X200X80-9N
VBAT,84.00,79.00,0.00,TPTP20R,TP20R
VBUS,146.23,42.44,0.00,TPTP20R,TP20R
